id,partsOfSpeechId,name,label
44444444-4444-4444-4444-444444444441,33333333-3333-3333-3333-333333333331,day_of_week,曜日
44444444-4444-4444-4444-444444444442,33333333-3333-3333-3333-333333333331,month,月
44444444-4444-4444-4444-444444444443,33333333-3333-3333-3333-333333333331,animal,動物
44444444-4444-4444-4444-444444444444,33333333-3333-3333-3333-333333333331,food,食べ物
44444444-4444-4444-4444-444444444445,33333333-3333-3333-3333-333333333331,body_part,体の部位
44444444-4444-4444-4444-444444444446,33333333-3333-3333-3333-333333333331,family,家族
44444444-4444-4444-4444-444444444447,33333333-3333-3333-3333-333333333331,school,学校
44444444-4444-4444-4444-444444444448,33333333-3333-3333-3333-333333333331,sport,スポーツ
44444444-4444-4444-4444-444444444449,33333333-3333-3333-3333-333333333331,color,色
44444444-4444-4444-4444-44444444444a,33333333-3333-3333-3333-333333333331,country,国
44444444-4444-4444-4444-44444444444b,33333333-3333-3333-3333-333333333331,job,職業
44444444-4444-4444-4444-44444444444c,33333333-3333-3333-3333-333333333331,nature,自然
44444444-4444-4444-4444-44444444444d,33333333-3333-3333-3333-333333333331,place,場所
44444444-4444-4444-4444-44444444444e,33333333-3333-3333-3333-333333333331,technology,技術
44444444-4444-4444-4444-44444444444f,33333333-3333-3333-3333-333333333331,transportation,交通手段
44444444-4444-4444-4444-444444444450,33333333-3333-3333-3333-333333333331,clothing,衣類
44444444-4444-4444-4444-444444444451,33333333-3333-3333-3333-333333333331,building,建物
44444444-4444-4444-4444-444444444452,33333333-3333-3333-3333-333333333331,music,音楽
44444444-4444-4444-4444-444444444453,33333333-3333-3333-3333-333333333331,material,材料
44444444-4444-4444-4444-444444444454,33333333-3333-3333-3333-333333333331,business,ビジネス
44444444-4444-4444-4444-444444444455,33333333-3333-3333-3333-333333333331,time_period,時間・期間
44444444-4444-4444-4444-444444444456,33333333-3333-3333-3333-333333333331,media,メディア
44444444-4444-4444-4444-444444444458,33333333-3333-3333-3333-333333333331,abstract_concept,抽象概念
44444444-4444-4444-4444-444444444459,33333333-3333-3333-3333-333333333331,quantity_unit,数量・単位
44444444-4444-4444-4444-44444444445a,33333333-3333-3333-3333-333333333331,emotion_noun,感情名詞
44444444-4444-4444-4444-444444444457,33333333-3333-3333-3333-333333333331,other,その他
55555555-5555-5555-5555-555555555551,33333333-3333-3333-3333-333333333332,movement,動作・移動
55555555-5555-5555-5555-555555555552,33333333-3333-3333-3333-333333333332,emotion,感情
55555555-5555-5555-5555-555555555553,33333333-3333-3333-3333-333333333332,action,動作
55555555-5555-5555-5555-555555555554,33333333-3333-3333-3333-333333333332,communication,コミュニケーション
55555555-5555-5555-5555-555555555555,33333333-3333-3333-3333-333333333332,daily_life,日常生活
55555555-5555-5555-5555-555555555556,33333333-3333-3333-3333-333333333332,study,学習
55555555-5555-5555-5555-555555555557,33333333-3333-3333-3333-333333333332,thinking,思考
55555555-5555-5555-5555-555555555558,33333333-3333-3333-3333-333333333332,creation,創造・作成
55555555-5555-5555-5555-55555555555a,33333333-3333-3333-3333-333333333332,state_verb,状態動詞
55555555-5555-5555-5555-55555555555b,33333333-3333-3333-3333-333333333332,change_verb,変化動詞
55555555-5555-5555-5555-555555555559,33333333-3333-3333-3333-333333333332,other,その他
66666666-6666-6666-6666-666666666661,33333333-3333-3333-3333-333333333333,size,大きさ
66666666-6666-6666-6666-666666666662,33333333-3333-3333-3333-333333333333,shape,形
66666666-6666-6666-6666-666666666663,33333333-3333-3333-3333-333333333333,personality,性格
66666666-6666-6666-6666-666666666664,33333333-3333-3333-3333-333333333333,feeling,気持ち
66666666-6666-6666-6666-666666666665,33333333-3333-3333-3333-333333333333,weather,天気
66666666-6666-6666-6666-666666666666,33333333-3333-3333-3333-333333333333,appearance,外見
66666666-6666-6666-6666-666666666667,33333333-3333-3333-3333-333333333333,quality,品質
66666666-6666-6666-6666-666666666668,33333333-3333-3333-3333-333333333333,difficulty,難易度
66666666-6666-6666-6666-666666666669,33333333-3333-3333-3333-333333333333,age,年齢
66666666-6666-6666-6666-66666666666a,33333333-3333-3333-3333-333333333333,physical,物理的
66666666-6666-6666-6666-66666666666b,33333333-3333-3333-3333-333333333333,mental,精神的
66666666-6666-6666-6666-66666666666d,33333333-3333-3333-3333-333333333333,temporal,時間的
66666666-6666-6666-6666-66666666666e,33333333-3333-3333-3333-333333333333,evaluative,評価的
66666666-6666-6666-6666-66666666666c,33333333-3333-3333-3333-333333333333,other,その他
77777777-7777-7777-7777-777777777771,33333333-3333-3333-3333-333333333334,time,時間
77777777-7777-7777-7777-777777777772,33333333-3333-3333-3333-333333333334,frequency,頻度
77777777-7777-7777-7777-777777777773,33333333-3333-3333-3333-333333333334,manner,様子
77777777-7777-7777-7777-777777777774,33333333-3333-3333-3333-333333333334,degree,程度
77777777-7777-7777-7777-777777777775,33333333-3333-3333-3333-333333333334,other,その他
88888888-8888-8888-8888-888888888881,33333333-3333-3333-3333-333333333335,personal,人称代名詞
88888888-8888-8888-8888-888888888882,33333333-3333-3333-3333-333333333335,possessive,所有代名詞
88888888-8888-8888-8888-888888888883,33333333-3333-3333-3333-333333333335,demonstrative,指示代名詞
88888888-8888-8888-8888-888888888884,33333333-3333-3333-3333-333333333335,interrogative,疑問代名詞
88888888-8888-8888-8888-888888888885,33333333-3333-3333-3333-333333333335,relative,関係代名詞
88888888-8888-8888-8888-888888888886,33333333-3333-3333-3333-333333333335,other,その他
99999999-9999-9999-9999-999999999991,33333333-3333-3333-3333-333333333336,location,場所
99999999-9999-9999-9999-999999999992,33333333-3333-3333-3333-333333333336,time,時間
99999999-9999-9999-9999-999999999993,33333333-3333-3333-3333-333333333336,direction,方向
99999999-9999-9999-9999-999999999994,33333333-3333-3333-3333-333333333336,manner,方法
99999999-9999-9999-9999-999999999995,33333333-3333-3333-3333-333333333336,other,その他
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,33333333-3333-3333-3333-333333333337,coordinating,等位接続詞
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaabb,33333333-3333-3333-3333-333333333337,subordinating,従位接続詞
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaacc,33333333-3333-3333-3333-333333333337,correlative,相関接続詞
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaadd,33333333-3333-3333-3333-333333333337,other,その他
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,33333333-3333-3333-3333-333333333338,greeting,挨拶
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbcc,33333333-3333-3333-3333-333333333338,emotion,感情表現
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbdd,33333333-3333-3333-3333-333333333338,attention,注意喚起
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbee,33333333-3333-3333-3333-333333333338,other,その他
cccccccc-cccc-cccc-cccc-cccccccccccc,33333333-3333-3333-3333-333333333339,definite,定冠詞
cccccccc-cccc-cccc-cccc-ccccccccccdd,33333333-3333-3333-3333-333333333339,indefinite,不定冠詞
cccccccc-cccc-cccc-cccc-ccccccccccee,33333333-3333-3333-3333-333333333339,other,その他
dddddddd-dddd-dddd-dddd-dddddddddddd,33333333-3333-3333-3333-33333333333a,modal,法助動詞
dddddddd-dddd-dddd-dddd-ddddddddddee,33333333-3333-3333-3333-33333333333a,primary,基本助動詞
dddddddd-dddd-dddd-dddd-ddddddddddff,33333333-3333-3333-3333-33333333333a,other,その他
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,33333333-3333-3333-3333-33333333333b,cardinal,基数詞
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeff,33333333-3333-3333-3333-33333333333b,ordinal,序数詞
eeeeeeee-eeee-eeee-eeee-eeeeeeeeee00,33333333-3333-3333-3333-33333333333b,other,その他
